Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
117,26,Black,0,1,1,0,0
118,16,Red,1,0,1,0,0
119,7,Red,1,0,0,1,0
120,28,Black,0,1,1,0,0
121,21,Red,1,0,0,1,0
122,27,Red,1,0,0,1,0
123,35,Black,0,1,0,1,0
124,11,Black,0,1,0,1,0
125,18,Red,1,0,1,0,0
126,30,Red,1,0,1,0,0
127,10,Black,0,1,1,0,0
128,13,Black,0,1,0,1,0
129,27,Red,1,0,0,1,0
130,21,Red,1,0,0,1,0
131,10,Black,0,1,1,0,0
132,1,Red,1,0,0,1,0
133,33,Black,0,1,0,1,0
134,28,Black,0,1,1,0,0
135,24,Black,0,1,1,0,0
136,29,Black,0,1,0,1,0
137,2,Black,0,1,1,0,0
138,29,Black,0,1,0,1,0
139,3,Red,1,0,0,1,0
140,27,Red,1,0,0,1,0
141,30,Red,1,0,1,0,0
142,10,Black,0,1,1,0,0
143,23,Red,1,0,0,1,0
144,33,Black,0,1,0,1,0
145,25,Red,1,0,0,1,0
146,16,Red,1,0,1,0,0
147,16,Red,1,0,1,0,0
148,11,Black,0,1,0,1,0
149,30,Red,1,0,1,0,0
150,4,Black,0,1,1,0,0
151,1,Red,1,0,0,1,0
152,14,Red,1,0,1,0,0
153,31,Black,0,1,0,1,0
154,30,Red,1,0,1,0,0
155,31,Black,0,1,0,1,0
156,14,Red,1,0,1,0,0
157,25,Red,1,0,0,1,0
158,11,Black,0,1,0,1,0
159,4,Black,0,1,1,0,0
160,9,Red,1,0,0,1,0
161,23,Red,1,0,0,1,0
162,20,Black,0,1,1,0,0
163,18,Red,1,0,1,0,0
164,16,Red,1,0,1,0,0
165,5,Red,1,0,0,1,0
166,6,Black,0,1,1,0,0
167,12,Red,1,0,1,0,0
168,14,Red,1,0,1,0,0
169,4,Black,0,1,1,0,0
170,18,Red,1,0,1,0,0
171,29,Black,0,1,0,1,0
172,10,Black,0,1,1,0,0
173,31,Black,0,1,0,1,0
174,9,Red,1,0,0,1,0
175,13,Black,0,1,0,1,0
176,32,Red,1,0,1,0,0
177,23,Red,1,0,0,1,0
178,1,Red,1,0,0,1,0
179,32,Red,1,0,1,0,0
180,35,Black,0,1,0,1,0
181,8,Black,0,1,1,0,0
182,25,Red,1,0,0,1,0
183,34,Red,1,0,1,0,0
184,30,Red,1,0,1,0,0
185,3,Red,1,0,0,1,0
186,12,Red,1,0,1,0,0
187,24,Black,0,1,1,0,0
188,0,Green,0,0,0,0,1
189,11,Black,0,1,0,1,0
190,34,Red,1,0,1,0,0
191,15,Black,0,1,0,1,0
192,30,Red,1,0,1,0,0
193,21,Red,1,0,0,1,0
194,9,Red,1,0,0,1,0
195,24,Black,0,1,1,0,0
196,30,Red,1,0,1,0,0
197,36,Red,1,0,1,0,0
198,30,Red,1,0,1,0,0
199,11,Black,0,1,0,1,0
200,24,Black,0,1,1,0,0
201,29,Black,0,1,0,1,0
202,19,Red,1,0,0,1,0
203,4,Black,0,1,1,0,0
204,24,Black,0,1,1,0,0
205,27,Red,1,0,0,1,0
206,25,Red,1,0,0,1,0
207,14,Red,1,0,1,0,0
208,6,Black,0,1,1,0,0
209,30,Red,1,0,1,0,0
210,20,Black,0,1,1,0,0
211,20,Black,0,1,1,0,0
212,15,Black,0,1,0,1,0
213,33,Black,0,1,0,1,0
214,26,Black,0,1,1,0,0
215,8,Black,0,1,1,0,0
216,31,Black,0,1,0,1,0
217,30,Red,1,0,1,0,0
218,12,Red,1,0,1,0,0
219,20,Black,0,1,1,0,0
220,22,Black,0,1,1,0,0
221,15,Black,0,1,0,1,0
222,34,Red,1,0,1,0,0
223,0,Green,0,0,0,0,1
224,34,Red,1,0,1,0,0
225,29,Black,0,1,0,1,0
226,3,Red,1,0,0,1,0
227,30,Red,1,0,1,0,0
228,29,Black,0,1,0,1,0
229,5,Red,1,0,0,1,0
230,11,Black,0,1,0,1,0
231,34,Red,1,0,1,0,0
232,12,Red,1,0,1,0,0
233,26,Black,0,1,1,0,0
234,16,Red,1,0,1,0,0
235,25,Red,1,0,0,1,0
236,31,Black,0,1,0,1,0
237,27,Red,1,0,0,1,0
238,34,Red,1,0,1,0,0
239,8,Black,0,1,1,0,0
240,20,Black,0,1,1,0,0
241,25,Red,1,0,0,1,0
242,2,Black,0,1,1,0,0
243,18,Red,1,0,1,0,0
244,22,Black,0,1,1,0,0
245,36,Red,1,0,1,0,0
246,29,Black,0,1,0,1,0
247,28,Black,0,1,1,0,0
248,5,Red,1,0,0,1,0
249,23,Red,1,0,0,1,0
250,0,Green,0,0,0,0,1
251,15,Black,0,1,0,1,0
252,9,Red,1,0,0,1,0
253,11,Black,0,1,0,1,0
254,3,Red,1,0,0,1,0
255,26,Black,0,1,1,0,0
256,31,Black,0,1,0,1,0
257,6,Black,0,1,1,0,0
258,18,Red,1,0,1,0,0
259,3,Red,1,0,0,1,0
260,34,Red,1,0,1,0,0
261,20,Black,0,1,1,0,0
262,20,Black,0,1,1,0,0
263,34,Red,1,0,1,0,0
264,26,Black,0,1,1,0,0
265,32,Red,1,0,1,0,0
266,29,Black,0,1,0,1,0
267,31,Black,0,1,0,1,0
268,23,Red,1,0,0,1,0
269,6,Black,0,1,1,0,0
270,12,Red,1,0,1,0,0
271,34,Red,1,0,1,0,0
272,25,Red,1,0,0,1,0
273,30,Red,1,0,1,0,0
274,6,Black,0,1,1,0,0
275,17,Black,0,1,0,1,0
276,13,Black,0,1,0,1,0
277,18,Red,1,0,1,0,0
278,0,Green,0,0,0,0,1
279,29,Black,0,1,0,1,0
280,29,Black,0,1,0,1,0
281,10,Black,0,1,1,0,0
282,30,Red,1,0,1,0,0
283,5,Red,1,0,0,1,0
284,19,Red,1,0,0,1,0
285,26,Black,0,1,1,0,0
286,7,Red,1,0,0,1,0
287,12,Red,1,0,1,0,0
288,32,Red,1,0,1,0,0
289,31,Black,0,1,0,1,0
290,13,Black,0,1,0,1,0
291,2,Black,0,1,1,0,0
292,33,Black,0,1,0,1,0
293,35,Black,0,1,0,1,0
294,26,Black,0,1,1,0,0
295,5,Red,1,0,0,1,0
296,27,Red,1,0,0,1,0
297,19,Red,1,0,0,1,0
298,26,Black,0,1,1,0,0
299,35,Black,0,1,0,1,0
300,8,Black,0,1,1,0,0
301,16,Red,1,0,1,0,0
302,32,Red,1,0,1,0,0
303,6,Black,0,1,1,0,0
304,22,Black,0,1,1,0,0
305,3,Red,1,0,0,1,0
306,10,Black,0,1,1,0,0
307,8,Black,0,1,1,0,0
308,19,Red,1,0,0,1,0
309,32,Red,1,0,1,0,0
310,11,Black,0,1,0,1,0
311,27,Red,1,0,0,1,0
312,7,Red,1,0,0,1,0
313,9,Red,1,0,0,1,0
314,3,Red,1,0,0,1,0
315,10,Black,0,1,1,0,0
316,27,Red,1,0,0,1,0
317,24,Black,0,1,1,0,0
318,15,Black,0,1,0,1,0
319,6,Black,0,1,1,0,0
320,8,Black,0,1,1,0,0
321,0,Green,0,0,0,0,1
322,34,Red,1,0,1,0,0
323,4,Black,0,1,1,0,0
324,5,Red,1,0,0,1,0
325,14,Red,1,0,1,0,0
326,1,Red,1,0,0,1,0
327,31,Black,0,1,0,1,0
328,24,Black,0,1,1,0,0
329,28,Black,0,1,1,0,0
330,1,Red,1,0,0,1,0
331,26,Black,0,1,1,0,0
332,25,Red,1,0,0,1,0
333,21,Red,1,0,0,1,0
334,0,Green,0,0,0,0,1
335,4,Black,0,1,1,0,0
336,13,Black,0,1,0,1,0
337,31,Black,0,1,0,1,0
338,8,Black,0,1,1,0,0
339,30,Red,1,0,1,0,0
340,21,Red,1,0,0,1,0
341,3,Red,1,0,0,1,0
342,26,Black,0,1,1,0,0
343,35,Black,0,1,0,1,0
344,12,Red,1,0,1,0,0
345,11,Black,0,1,0,1,0
346,10,Black,0,1,1,0,0
347,11,Black,0,1,0,1,0
348,27,Red,1,0,0,1,0
349,36,Red,1,0,1,0,0
350,21,Red,1,0,0,1,0
351,8,Black,0,1,1,0,0
352,9,Red,1,0,0,1,0
353,26,Black,0,1,1,0,0
354,26,Black,0,1,1,0,0
355,12,Red,1,0,1,0,0
356,19,Red,1,0,0,1,0
357,11,Black,0,1,0,1,0
358,32,Red,1,0,1,0,0
359,19,Red,1,0,0,1,0
360,18,Red,1,0,1,0,0
361,17,Black,0,1,0,1,0
362,12,Red,1,0,1,0,0
363,35,Black,0,1,0,1,0
364,21,Red,1,0,0,1,0
365,3,Red,1,0,0,1,0
366,36,Red,1,0,1,0,0
367,12,Red,1,0,1,0,0
368,18,Red,1,0,1,0,0
369,1,Red,1,0,0,1,0
370,26,Black,0,1,1,0,0
371,0,Green,0,0,0,0,1
372,31,Black,0,1,0,1,0
373,18,Red,1,0,1,0,0
374,19,Red,1,0,0,1,0
375,29,Black,0,1,0,1,0
376,27,Red,1,0,0,1,0
377,12,Red,1,0,1,0,0
378,23,Red,1,0,0,1,0
379,26,Black,0,1,1,0,0
380,19,Red,1,0,0,1,0
381,20,Black,0,1,1,0,0
382,6,Black,0,1,1,0,0
383,29,Black,0,1,0,1,0
384,5,Red,1,0,0,1,0
385,0,Green,0,0,0,0,1
386,23,Red,1,0,0,1,0
387,0,Green,0,0,0,0,1
388,18,Red,1,0,1,0,0
389,24,Black,0,1,1,0,0
390,3,Red,1,0,0,1,0
391,19,Red,1,0,0,1,0
392,6,Black,0,1,1,0,0
393,24,Black,0,1,1,0,0
394,29,Black,0,1,0,1,0
395,32,Red,1,0,1,0,0
396,5,Red,1,0,0,1,0
397,34,Red,1,0,1,0,0
398,17,Black,0,1,0,1,0
399,31,Black,0,1,0,1,0
400,20,Black,0,1,1,0,0
401,27,Red,1,0,0,1,0
402,22,Black,0,1,1,0,0
403,34,Red,1,0,1,0,0
404,25,Red,1,0,0,1,0
405,33,Black,0,1,0,1,0
406,7,Red,1,0,0,1,0
407,0,Green,0,0,0,0,1
408,21,Red,1,0,0,1,0
409,2,Black,0,1,1,0,0
410,17,Black,0,1,0,1,0
411,18,Red,1,0,1,0,0
412,13,Black,0,1,0,1,0
413,15,Black,0,1,0,1,0
414,25,Red,1,0,0,1,0
415,28,Black,0,1,1,0,0
416,6,Black,0,1,1,0,0
417,35,Black,0,1,0,1,0
418,11,Black,0,1,0,1,0
419,33,Black,0,1,0,1,0
420,19,Red,1,0,0,1,0
421,26,Black,0,1,1,0,0
422,2,Black,0,1,1,0,0
423,18,Red,1,0,1,0,0
424,26,Black,0,1,1,0,0
425,34,Red,1,0,1,0,0
426,1,Red,1,0,0,1,0
427,25,Red,1,0,0,1,0
428,6,Black,0,1,1,0,0
429,7,Red,1,0,0,1,0
430,3,Red,1,0,0,1,0
431,35,Black,0,1,0,1,0
432,34,Red,1,0,1,0,0
433,31,Black,0,1,0,1,0
434,9,Red,1,0,0,1,0
435,7,Red,1,0,0,1,0
436,16,Red,1,0,1,0,0
437,30,Red,1,0,1,0,0
438,8,Black,0,1,1,0,0
439,22,Black,0,1,1,0,0
440,18,Red,1,0,1,0,0
441,34,Red,1,0,1,0,0
442,34,Red,1,0,1,0,0
443,17,Black,0,1,0,1,0
444,10,Black,0,1,1,0,0
445,1,Red,1,0,0,1,0
446,15,Black,0,1,0,1,0
447,34,Red,1,0,1,0,0
448,22,Black,0,1,1,0,0
449,18,Red,1,0,1,0,0
450,10,Black,0,1,1,0,0
451,32,Red,1,0,1,0,0
452,10,Black,0,1,1,0,0
453,14,Red,1,0,1,0,0
454,13,Black,0,1,0,1,0
455,0,Green,0,0,0,0,1
456,24,Black,0,1,1,0,0
457,14,Red,1,0,1,0,0
458,24,Black,0,1,1,0,0
459,5,Red,1,0,0,1,0
460,25,Red,1,0,0,1,0
461,17,Black,0,1,0,1,0
462,30,Red,1,0,1,0,0
463,2,Black,0,1,1,0,0
464,14,Red,1,0,1,0,0
465,8,Black,0,1,1,0,0
466,4,Black,0,1,1,0,0
467,33,Black,0,1,0,1,0
468,4,Black,0,1,1,0,0
469,0,Green,0,0,0,0,1
470,26,Black,0,1,1,0,0
471,13,Black,0,1,0,1,0
472,29,Black,0,1,0,1,0
473,21,Red,1,0,0,1,0
474,16,Red,1,0,1,0,0
475,36,Red,1,0,1,0,0
476,22,Black,0,1,1,0,0
477,11,Black,0,1,0,1,0
478,4,Black,0,1,1,0,0
479,4,Black,0,1,1,0,0
480,25,Red,1,0,0,1,0
481,33,Black,0,1,0,1,0
482,30,Red,1,0,1,0,0
483,31,Black,0,1,0,1,0
484,13,Black,0,1,0,1,0
485,15,Black,0,1,0,1,0
486,28,Black,0,1,1,0,0
487,15,Black,0,1,0,1,0
488,15,Black,0,1,0,1,0
489,28,Black,0,1,1,0,0
490,31,Black,0,1,0,1,0
491,34,Red,1,0,1,0,0
492,8,Black,0,1,1,0,0
493,16,Red,1,0,1,0,0
494,0,Green,0,0,0,0,1
495,23,Red,1,0,0,1,0
496,19,Red,1,0,0,1,0
497,16,Red,1,0,1,0,0
498,36,Red,1,0,1,0,0
499,17,Black,0,1,0,1,0
500,4,Black,0,1,1,0,0
501,12,Red,1,0,1,0,0
502,24,Black,0,1,1,0,0
503,1,Red,1,0,0,1,0
504,13,Black,0,1,0,1,0
505,15,Black,0,1,0,1,0
506,12,Red,1,0,1,0,0
507,22,Black,0,1,1,0,0
508,21,Red,1,0,0,1,0
509,8,Black,0,1,1,0,0
510,12,Red,1,0,1,0,0
511,14,Red,1,0,1,0,0
512,10,Black,0,1,1,0,0
513,31,Black,0,1,0,1,0
514,12,Red,1,0,1,0,0
515,20,Black,0,1,1,0,0
516,19,Red,1,0,0,1,0
517,24,Black,0,1,1,0,0
518,2,Black,0,1,1,0,0
519,19,Red,1,0,0,1,0
520,19,Red,1,0,0,1,0
521,21,Red,1,0,0,1,0
522,15,Black,0,1,0,1,0
523,18,Red,1,0,1,0,0
524,11,Black,0,1,0,1,0
525,22,Black,0,1,1,0,0
526,3,Red,1,0,0,1,0
527,23,Red,1,0,0,1,0
528,30,Red,1,0,1,0,0
529,16,Red,1,0,1,0,0
530,14,Red,1,0,1,0,0
531,34,Red,1,0,1,0,0
532,18,Red,1,0,1,0,0
533,24,Black,0,1,1,0,0
534,23,Red,1,0,0,1,0
535,34,Red,1,0,1,0,0
536,14,Red,1,0,1,0,0
537,31,Black,0,1,0,1,0
538,28,Black,0,1,1,0,0
539,21,Red,1,0,0,1,0
540,36,Red,1,0,1,0,0
541,28,Black,0,1,1,0,0
542,36,Red,1,0,1,0,0
543,32,Red,1,0,1,0,0
544,6,Black,0,1,1,0,0
545,11,Black,0,1,0,1,0
546,36,Red,1,0,1,0,0
547,7,Red,1,0,0,1,0
548,14,Red,1,0,1,0,0
549,8,Black,0,1,1,0,0
550,19,Red,1,0,0,1,0
551,12,Red,1,0,1,0,0
552,31,Black,0,1,0,1,0
553,12,Red,1,0,1,0,0
554,8,Black,0,1,1,0,0
555,27,Red,1,0,0,1,0
556,31,Black,0,1,0,1,0
557,27,Red,1,0,0,1,0
558,35,Black,0,1,0,1,0
559,9,Red,1,0,0,1,0
560,33,Black,0,1,0,1,0
561,3,Red,1,0,0,1,0
562,1,Red,1,0,0,1,0
563,30,Red,1,0,1,0,0
564,6,Black,0,1,1,0,0
565,28,Black,0,1,1,0,0
566,14,Red,1,0,1,0,0
567,32,Red,1,0,1,0,0
568,23,Red,1,0,0,1,0
569,8,Black,0,1,1,0,0
570,23,Red,1,0,0,1,0
571,29,Black,0,1,0,1,0
572,6,Black,0,1,1,0,0
573,10,Black,0,1,1,0,0
574,7,Red,1,0,0,1,0
575,32,Red,1,0,1,0,0
576,32,Red,1,0,1,0,0
577,34,Red,1,0,1,0,0
578,3,Red,1,0,0,1,0
579,12,Red,1,0,1,0,0
580,26,Black,0,1,1,0,0
581,35,Black,0,1,0,1,0
582,7,Red,1,0,0,1,0
583,21,Red,1,0,0,1,0
584,22,Black,0,1,1,0,0
585,8,Black,0,1,1,0,0
586,22,Black,0,1,1,0,0
587,11,Black,0,1,0,1,0
588,30,Red,1,0,1,0,0
589,0,Green,0,0,0,0,1
590,20,Black,0,1,1,0,0
591,29,Black,0,1,0,1,0
592,29,Black,0,1,0,1,0
593,14,Red,1,0,1,0,0
594,33,Black,0,1,0,1,0
595,5,Red,1,0,0,1,0
596,6,Black,0,1,1,0,0
597,30,Red,1,0,1,0,0
598,3,Red,1,0,0,1,0
599,19,Red,1,0,0,1,0
600,34,Red,1,0,1,0,0
601,7,Red,1,0,0,1,0
602,29,Black,0,1,0,1,0
603,24,Black,0,1,1,0,0
604,26,Black,0,1,1,0,0
605,5,Red,1,0,0,1,0
606,21,Red,1,0,0,1,0
607,20,Black,0,1,1,0,0
608,13,Black,0,1,0,1,0
609,13,Black,0,1,0,1,0
610,31,Black,0,1,0,1,0
611,35,Black,0,1,0,1,0
612,34,Red,1,0,1,0,0
613,30,Red,1,0,1,0,0
614,27,Red,1,0,0,1,0
615,35,Black,0,1,0,1,0
616,8,Black,0,1,1,0,0
617,5,Red,1,0,0,1,0
618,6,Black,0,1,1,0,0
619,29,Black,0,1,0,1,0
620,27,Red,1,0,0,1,0
621,8,Black,0,1,1,0,0
622,14,Red,1,0,1,0,0
623,24,Black,0,1,1,0,0
624,7,Red,1,0,0,1,0
625,31,Black,0,1,0,1,0
626,31,Black,0,1,0,1,0
627,5,Red,1,0,0,1,0
628,29,Black,0,1,0,1,0
629,15,Black,0,1,0,1,0
630,13,Black,0,1,0,1,0
631,21,Red,1,0,0,1,0
632,1,Red,1,0,0,1,0
633,15,Black,0,1,0,1,0
634,3,Red,1,0,0,1,0
635,10,Black,0,1,1,0,0
636,10,Black,0,1,1,0,0
637,27,Red,1,0,0,1,0
638,6,Black,0,1,1,0,0
639,15,Black,0,1,0,1,0
640,36,Red,1,0,1,0,0
641,26,Black,0,1,1,0,0
642,23,Red,1,0,0,1,0
643,4,Black,0,1,1,0,0
644,29,Black,0,1,0,1,0
645,11,Black,0,1,0,1,0
646,25,Red,1,0,0,1,0
647,11,Black,0,1,0,1,0
648,1,Red,1,0,0,1,0
649,3,Red,1,0,0,1,0
650,11,Black,0,1,0,1,0
651,36,Red,1,0,1,0,0
652,28,Black,0,1,1,0,0
653,0,Green,0,0,0,0,1
654,20,Black,0,1,1,0,0
655,29,Black,0,1,0,1,0
656,31,Black,0,1,0,1,0
657,21,Red,1,0,0,1,0
658,25,Red,1,0,0,1,0
659,14,Red,1,0,1,0,0
660,17,Black,0,1,0,1,0
661,0,Green,0,0,0,0,1
662,11,Black,0,1,0,1,0
663,30,Red,1,0,1,0,0
664,4,Black,0,1,1,0,0
665,26,Black,0,1,1,0,0
666,14,Red,1,0,1,0,0
667,34,Red,1,0,1,0,0
668,10,Black,0,1,1,0,0
669,34,Red,1,0,1,0,0
670,16,Red,1,0,1,0,0
671,0,Green,0,0,0,0,1
672,26,Black,0,1,1,0,0
673,6,Black,0,1,1,0,0
674,0,Green,0,0,0,0,1
675,28,Black,0,1,1,0,0
676,7,Red,1,0,0,1,0
677,20,Black,0,1,1,0,0
678,34,Red,1,0,1,0,0
679,8,Black,0,1,1,0,0
680,15,Black,0,1,0,1,0
681,35,Black,0,1,0,1,0
682,13,Black,0,1,0,1,0
683,27,Red,1,0,0,1,0
684,7,Red,1,0,0,1,0
685,1,Red,1,0,0,1,0
686,31,Black,0,1,0,1,0
687,31,Black,0,1,0,1,0
688,13,Black,0,1,0,1,0
689,13,Black,0,1,0,1,0
690,8,Black,0,1,1,0,0
691,33,Black,0,1,0,1,0
692,26,Black,0,1,1,0,0
693,32,Red,1,0,1,0,0
694,31,Black,0,1,0,1,0
695,36,Red,1,0,1,0,0
696,14,Red,1,0,1,0,0
697,25,Red,1,0,0,1,0
698,11,Black,0,1,0,1,0
699,28,Black,0,1,1,0,0
700,26,Black,0,1,1,0,0
701,12,Red,1,0,1,0,0
702,35,Black,0,1,0,1,0
703,33,Black,0,1,0,1,0
704,5,Red,1,0,0,1,0
705,7,Red,1,0,0,1,0
706,23,Red,1,0,0,1,0
707,5,Red,1,0,0,1,0
708,28,Black,0,1,1,0,0
709,8,Black,0,1,1,0,0
710,8,Black,0,1,1,0,0
711,12,Red,1,0,1,0,0
712,16,Red,1,0,1,0,0
713,15,Black,0,1,0,1,0
714,35,Black,0,1,0,1,0
715,12,Red,1,0,1,0,0
716,11,Black,0,1,0,1,0
717,34,Red,1,0,1,0,0
718,25,Red,1,0,0,1,0
719,20,Black,0,1,1,0,0
720,15,Black,0,1,0,1,0
721,16,Red,1,0,1,0,0
722,20,Black,0,1,1,0,0
723,16,Red,1,0,1,0,0
724,3,Red,1,0,0,1,0
725,34,Red,1,0,1,0,0
726,1,Red,1,0,0,1,0
727,25,Red,1,0,0,1,0
728,18,Red,1,0,1,0,0
729,6,Black,0,1,1,0,0
730,20,Black,0,1,1,0,0
731,1,Red,1,0,0,1,0
732,28,Black,0,1,1,0,0
733,35,Black,0,1,0,1,0
734,29,Black,0,1,0,1,0
735,25,Red,1,0,0,1,0
736,0,Green,0,0,0,0,1
737,19,Red,1,0,0,1,0
738,8,Black,0,1,1,0,0
739,19,Red,1,0,0,1,0
740,12,Red,1,0,1,0,0
741,24,Black,0,1,1,0,0
742,19,Red,1,0,0,1,0
743,29,Black,0,1,0,1,0
744,28,Black,0,1,1,0,0
745,10,Black,0,1,1,0,0
746,19,Red,1,0,0,1,0
747,31,Black,0,1,0,1,0
748,19,Red,1,0,0,1,0
749,6,Black,0,1,1,0,0
750,17,Black,0,1,0,1,0
751,21,Red,1,0,0,1,0
752,29,Black,0,1,0,1,0
753,18,Red,1,0,1,0,0
754,20,Black,0,1,1,0,0
755,15,Black,0,1,0,1,0
756,29,Black,0,1,0,1,0
757,36,Red,1,0,1,0,0
758,5,Red,1,0,0,1,0
759,10,Black,0,1,1,0,0
760,15,Black,0,1,0,1,0
761,36,Red,1,0,1,0,0
762,30,Red,1,0,1,0,0
763,27,Red,1,0,0,1,0
764,0,Green,0,0,0,0,1
765,7,Red,1,0,0,1,0
766,31,Black,0,1,0,1,0
767,29,Black,0,1,0,1,0
768,0,Green,0,0,0,0,1
769,36,Red,1,0,1,0,0
770,32,Red,1,0,1,0,0
771,16,Red,1,0,1,0,0
772,24,Black,0,1,1,0,0
773,15,Black,0,1,0,1,0
774,34,Red,1,0,1,0,0
775,32,Red,1,0,1,0,0
776,19,Red,1,0,0,1,0
777,10,Black,0,1,1,0,0
778,31,Black,0,1,0,1,0
779,19,Red,1,0,0,1,0
780,29,Black,0,1,0,1,0
781,30,Red,1,0,1,0,0
782,9,Red,1,0,0,1,0
783,28,Black,0,1,1,0,0
784,24,Black,0,1,1,0,0
785,7,Red,1,0,0,1,0
786,7,Red,1,0,0,1,0
787,20,Black,0,1,1,0,0
788,16,Red,1,0,1,0,0
789,15,Black,0,1,0,1,0
790,2,Black,0,1,1,0,0
791,13,Black,0,1,0,1,0
792,22,Black,0,1,1,0,0
793,29,Black,0,1,0,1,0
794,25,Red,1,0,0,1,0
795,25,Red,1,0,0,1,0
796,21,Red,1,0,0,1,0
797,12,Red,1,0,1,0,0
798,22,Black,0,1,1,0,0
799,10,Black,0,1,1,0,0
800,13,Black,0,1,0,1,0
801,5,Red,1,0,0,1,0
802,34,Red,1,0,1,0,0
803,4,Black,0,1,1,0,0
804,4,Black,0,1,1,0,0
805,24,Black,0,1,1,0,0
806,6,Black,0,1,1,0,0
807,8,Black,0,1,1,0,0
808,12,Red,1,0,1,0,0
809,19,Red,1,0,0,1,0
810,21,Red,1,0,0,1,0
811,3,Red,1,0,0,1,0
812,36,Red,1,0,1,0,0
813,5,Red,1,0,0,1,0
814,8,Black,0,1,1,0,0
815,3,Red,1,0,0,1,0
816,15,Black,0,1,0,1,0
