Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
315,9,Red,1,0,0,1,0
316,23,Red,1,0,0,1,0
317,29,Black,0,1,0,1,0
318,13,Black,0,1,0,1,0
319,32,Red,1,0,1,0,0
320,35,Black,0,1,0,1,0
321,8,Black,0,1,1,0,0
322,7,Red,1,0,0,1,0
323,12,Red,1,0,1,0,0
324,7,Red,1,0,0,1,0
325,21,Red,1,0,0,1,0
326,24,Black,0,1,1,0,0
327,9,Red,1,0,0,1,0
328,4,Black,0,1,1,0,0
329,10,Black,0,1,1,0,0
330,16,Red,1,0,1,0,0
331,15,Black,0,1,0,1,0
332,33,Black,0,1,0,1,0
333,15,Black,0,1,0,1,0
334,25,Red,1,0,0,1,0
335,11,Black,0,1,0,1,0
336,17,Black,0,1,0,1,0
337,15,Black,0,1,0,1,0
338,31,Black,0,1,0,1,0
339,25,Red,1,0,0,1,0
340,20,Black,0,1,1,0,0
341,21,Red,1,0,0,1,0
342,36,Red,1,0,1,0,0
343,1,Red,1,0,0,1,0
344,13,Black,0,1,0,1,0
345,7,Red,1,0,0,1,0
346,8,Black,0,1,1,0,0
347,24,Black,0,1,1,0,0
348,36,Red,1,0,1,0,0
349,19,Red,1,0,0,1,0
350,2,Black,0,1,1,0,0
351,33,Black,0,1,0,1,0
352,25,Red,1,0,0,1,0
353,36,Red,1,0,1,0,0
354,24,Black,0,1,1,0,0
355,7,Red,1,0,0,1,0
356,14,Red,1,0,1,0,0
357,25,Red,1,0,0,1,0
358,11,Black,0,1,0,1,0
359,11,Black,0,1,0,1,0
360,28,Black,0,1,1,0,0
361,19,Red,1,0,0,1,0
362,23,Red,1,0,0,1,0
363,1,Red,1,0,0,1,0
364,0,Green,0,0,0,0,1
365,26,Black,0,1,1,0,0
366,8,Black,0,1,1,0,0
367,17,Black,0,1,0,1,0
368,8,Black,0,1,1,0,0
369,30,Red,1,0,1,0,0
370,19,Red,1,0,0,1,0
371,2,Black,0,1,1,0,0
372,13,Black,0,1,0,1,0
373,1,Red,1,0,0,1,0
374,22,Black,0,1,1,0,0
375,12,Red,1,0,1,0,0
376,28,Black,0,1,1,0,0
377,13,Black,0,1,0,1,0
378,16,Red,1,0,1,0,0
379,20,Black,0,1,1,0,0
380,3,Red,1,0,0,1,0
381,0,Green,0,0,0,0,1
382,13,Black,0,1,0,1,0
383,19,Red,1,0,0,1,0
384,28,Black,0,1,1,0,0
385,36,Red,1,0,1,0,0
386,11,Black,0,1,0,1,0
387,34,Red,1,0,1,0,0
388,16,Red,1,0,1,0,0
389,32,Red,1,0,1,0,0
390,20,Black,0,1,1,0,0
391,25,Red,1,0,0,1,0
392,3,Red,1,0,0,1,0
393,22,Black,0,1,1,0,0
394,25,Red,1,0,0,1,0
395,19,Red,1,0,0,1,0
396,5,Red,1,0,0,1,0
397,17,Black,0,1,0,1,0
398,5,Red,1,0,0,1,0
399,13,Black,0,1,0,1,0
400,2,Black,0,1,1,0,0
401,33,Black,0,1,0,1,0
402,30,Red,1,0,1,0,0
403,36,Red,1,0,1,0,0
404,21,Red,1,0,0,1,0
405,27,Red,1,0,0,1,0
406,29,Black,0,1,0,1,0
407,16,Red,1,0,1,0,0
408,21,Red,1,0,0,1,0
409,24,Black,0,1,1,0,0
410,1,Red,1,0,0,1,0
411,8,Black,0,1,1,0,0
412,10,Black,0,1,1,0,0
413,27,Red,1,0,0,1,0
414,12,Red,1,0,1,0,0
415,23,Red,1,0,0,1,0
416,13,Black,0,1,0,1,0
417,12,Red,1,0,1,0,0
418,8,Black,0,1,1,0,0
419,20,Black,0,1,1,0,0
420,22,Black,0,1,1,0,0
421,13,Black,0,1,0,1,0
422,22,Black,0,1,1,0,0
423,19,Red,1,0,0,1,0
424,21,Red,1,0,0,1,0
425,27,Red,1,0,0,1,0
426,5,Red,1,0,0,1,0
427,27,Red,1,0,0,1,0
428,24,Black,0,1,1,0,0
429,25,Red,1,0,0,1,0
430,32,Red,1,0,1,0,0
431,6,Black,0,1,1,0,0
432,1,Red,1,0,0,1,0
433,0,Green,0,0,0,0,1
434,30,Red,1,0,1,0,0
435,11,Black,0,1,0,1,0
436,9,Red,1,0,0,1,0
437,5,Red,1,0,0,1,0
438,19,Red,1,0,0,1,0
439,24,Black,0,1,1,0,0
440,23,Red,1,0,0,1,0
441,32,Red,1,0,1,0,0
442,0,Green,0,0,0,0,1
443,10,Black,0,1,1,0,0
444,21,Red,1,0,0,1,0
445,32,Red,1,0,1,0,0
446,1,Red,1,0,0,1,0
447,15,Black,0,1,0,1,0
448,31,Black,0,1,0,1,0
449,13,Black,0,1,0,1,0
450,9,Red,1,0,0,1,0
451,0,Green,0,0,0,0,1
452,31,Black,0,1,0,1,0
453,17,Black,0,1,0,1,0
454,34,Red,1,0,1,0,0
455,28,Black,0,1,1,0,0
456,9,Red,1,0,0,1,0
457,22,Black,0,1,1,0,0
458,29,Black,0,1,0,1,0
459,7,Red,1,0,0,1,0
460,7,Red,1,0,0,1,0
461,3,Red,1,0,0,1,0
462,19,Red,1,0,0,1,0
463,17,Black,0,1,0,1,0
464,12,Red,1,0,1,0,0
465,24,Black,0,1,1,0,0
466,18,Red,1,0,1,0,0
467,2,Black,0,1,1,0,0
468,30,Red,1,0,1,0,0
469,33,Black,0,1,0,1,0
470,19,Red,1,0,0,1,0
471,2,Black,0,1,1,0,0
472,2,Black,0,1,1,0,0
473,4,Black,0,1,1,0,0
474,11,Black,0,1,0,1,0
475,14,Red,1,0,1,0,0
476,9,Red,1,0,0,1,0
477,28,Black,0,1,1,0,0
478,17,Black,0,1,0,1,0
479,33,Black,0,1,0,1,0
480,30,Red,1,0,1,0,0
481,21,Red,1,0,0,1,0
482,26,Black,0,1,1,0,0
483,36,Red,1,0,1,0,0
484,1,Red,1,0,0,1,0
485,29,Black,0,1,0,1,0
486,20,Black,0,1,1,0,0
487,0,Green,0,0,0,0,1
488,33,Black,0,1,0,1,0
489,28,Black,0,1,1,0,0
490,11,Black,0,1,0,1,0
491,26,Black,0,1,1,0,0
492,27,Red,1,0,0,1,0
493,31,Black,0,1,0,1,0
494,14,Red,1,0,1,0,0
495,1,Red,1,0,0,1,0
496,19,Red,1,0,0,1,0
497,36,Red,1,0,1,0,0
498,12,Red,1,0,1,0,0
499,3,Red,1,0,0,1,0
500,33,Black,0,1,0,1,0
501,7,Red,1,0,0,1,0
502,33,Black,0,1,0,1,0
503,13,Black,0,1,0,1,0
504,22,Black,0,1,1,0,0
505,23,Red,1,0,0,1,0
506,9,Red,1,0,0,1,0
507,7,Red,1,0,0,1,0
508,3,Red,1,0,0,1,0
509,27,Red,1,0,0,1,0
510,14,Red,1,0,1,0,0
511,4,Black,0,1,1,0,0
512,13,Black,0,1,0,1,0
513,11,Black,0,1,0,1,0
514,7,Red,1,0,0,1,0
515,31,Black,0,1,0,1,0
516,30,Red,1,0,1,0,0
517,12,Red,1,0,1,0,0
518,30,Red,1,0,1,0,0
519,12,Red,1,0,1,0,0
520,35,Black,0,1,0,1,0
521,1,Red,1,0,0,1,0
522,32,Red,1,0,1,0,0
523,34,Red,1,0,1,0,0
524,22,Black,0,1,1,0,0
525,2,Black,0,1,1,0,0
526,25,Red,1,0,0,1,0
527,30,Red,1,0,1,0,0
528,18,Red,1,0,1,0,0
529,29,Black,0,1,0,1,0
530,18,Red,1,0,1,0,0
531,36,Red,1,0,1,0,0
532,27,Red,1,0,0,1,0
533,21,Red,1,0,0,1,0
534,13,Black,0,1,0,1,0
535,5,Red,1,0,0,1,0
536,12,Red,1,0,1,0,0
537,12,Red,1,0,1,0,0
538,25,Red,1,0,0,1,0
539,28,Black,0,1,1,0,0
540,34,Red,1,0,1,0,0
541,25,Red,1,0,0,1,0
542,20,Black,0,1,1,0,0
543,12,Red,1,0,1,0,0
544,2,Black,0,1,1,0,0
545,27,Red,1,0,0,1,0
546,25,Red,1,0,0,1,0
547,12,Red,1,0,1,0,0
548,2,Black,0,1,1,0,0
549,29,Black,0,1,0,1,0
550,25,Red,1,0,0,1,0
551,8,Black,0,1,1,0,0
552,14,Red,1,0,1,0,0
553,13,Black,0,1,0,1,0
554,3,Red,1,0,0,1,0
555,1,Red,1,0,0,1,0
556,13,Black,0,1,0,1,0
557,0,Green,0,0,0,0,1
558,14,Red,1,0,1,0,0
559,33,Black,0,1,0,1,0
560,9,Red,1,0,0,1,0
561,25,Red,1,0,0,1,0
562,1,Red,1,0,0,1,0
563,22,Black,0,1,1,0,0
564,23,Red,1,0,0,1,0
565,6,Black,0,1,1,0,0
566,29,Black,0,1,0,1,0
567,22,Black,0,1,1,0,0
568,20,Black,0,1,1,0,0
569,3,Red,1,0,0,1,0
570,13,Black,0,1,0,1,0
571,32,Red,1,0,1,0,0
572,11,Black,0,1,0,1,0
573,11,Black,0,1,0,1,0
574,19,Red,1,0,0,1,0
575,24,Black,0,1,1,0,0
576,24,Black,0,1,1,0,0
577,2,Black,0,1,1,0,0
578,35,Black,0,1,0,1,0
579,19,Red,1,0,0,1,0
580,35,Black,0,1,0,1,0
581,20,Black,0,1,1,0,0
582,33,Black,0,1,0,1,0
583,30,Red,1,0,1,0,0
584,0,Green,0,0,0,0,1
585,17,Black,0,1,0,1,0
586,1,Red,1,0,0,1,0
587,7,Red,1,0,0,1,0
588,15,Black,0,1,0,1,0
589,26,Black,0,1,1,0,0
590,13,Black,0,1,0,1,0
591,33,Black,0,1,0,1,0
592,0,Green,0,0,0,0,1
593,33,Black,0,1,0,1,0
594,7,Red,1,0,0,1,0
595,24,Black,0,1,1,0,0
596,30,Red,1,0,1,0,0
597,35,Black,0,1,0,1,0
598,8,Black,0,1,1,0,0
599,17,Black,0,1,0,1,0
600,4,Black,0,1,1,0,0
601,1,Red,1,0,0,1,0
602,26,Black,0,1,1,0,0
603,27,Red,1,0,0,1,0
604,32,Red,1,0,1,0,0
605,2,Black,0,1,1,0,0
606,17,Black,0,1,0,1,0
607,22,Black,0,1,1,0,0
608,17,Black,0,1,0,1,0
609,11,Black,0,1,0,1,0
610,35,Black,0,1,0,1,0
611,1,Red,1,0,0,1,0
612,26,Black,0,1,1,0,0
613,11,Black,0,1,0,1,0
614,15,Black,0,1,0,1,0
615,7,Red,1,0,0,1,0
616,36,Red,1,0,1,0,0
617,32,Red,1,0,1,0,0
618,29,Black,0,1,0,1,0
619,5,Red,1,0,0,1,0
620,33,Black,0,1,0,1,0
621,0,Green,0,0,0,0,1
622,22,Black,0,1,1,0,0
623,8,Black,0,1,1,0,0
624,18,Red,1,0,1,0,0
625,16,Red,1,0,1,0,0
626,13,Black,0,1,0,1,0
627,29,Black,0,1,0,1,0
628,35,Black,0,1,0,1,0
629,20,Black,0,1,1,0,0
630,29,Black,0,1,0,1,0
631,11,Black,0,1,0,1,0
632,24,Black,0,1,1,0,0
633,11,Black,0,1,0,1,0
634,14,Red,1,0,1,0,0
635,22,Black,0,1,1,0,0
636,27,Red,1,0,0,1,0
637,6,Black,0,1,1,0,0
638,35,Black,0,1,0,1,0
639,30,Red,1,0,1,0,0
640,10,Black,0,1,1,0,0
641,4,Black,0,1,1,0,0
642,11,Black,0,1,0,1,0
643,33,Black,0,1,0,1,0
644,22,Black,0,1,1,0,0
645,12,Red,1,0,1,0,0
646,28,Black,0,1,1,0,0
647,34,Red,1,0,1,0,0
648,7,Red,1,0,0,1,0
649,35,Black,0,1,0,1,0
650,10,Black,0,1,1,0,0
651,5,Red,1,0,0,1,0
652,30,Red,1,0,1,0,0
653,9,Red,1,0,0,1,0
654,9,Red,1,0,0,1,0
655,19,Red,1,0,0,1,0
656,33,Black,0,1,0,1,0
657,34,Red,1,0,1,0,0
658,31,Black,0,1,0,1,0
659,31,Black,0,1,0,1,0
660,29,Black,0,1,0,1,0
661,17,Black,0,1,0,1,0
662,0,Green,0,0,0,0,1
663,24,Black,0,1,1,0,0
664,18,Red,1,0,1,0,0
665,6,Black,0,1,1,0,0
666,23,Red,1,0,0,1,0
667,14,Red,1,0,1,0,0
668,15,Black,0,1,0,1,0
669,19,Red,1,0,0,1,0
670,18,Red,1,0,1,0,0
671,11,Black,0,1,0,1,0
672,32,Red,1,0,1,0,0
673,10,Black,0,1,1,0,0
674,12,Red,1,0,1,0,0
675,25,Red,1,0,0,1,0
676,10,Black,0,1,1,0,0
677,6,Black,0,1,1,0,0
678,16,Red,1,0,1,0,0
679,9,Red,1,0,0,1,0
680,31,Black,0,1,0,1,0
681,14,Red,1,0,1,0,0
682,28,Black,0,1,1,0,0
683,24,Black,0,1,1,0,0
684,12,Red,1,0,1,0,0
685,25,Red,1,0,0,1,0
686,29,Black,0,1,0,1,0
687,10,Black,0,1,1,0,0
688,5,Red,1,0,0,1,0
689,5,Red,1,0,0,1,0
690,22,Black,0,1,1,0,0
691,21,Red,1,0,0,1,0
692,34,Red,1,0,1,0,0
693,8,Black,0,1,1,0,0
694,12,Red,1,0,1,0,0
695,33,Black,0,1,0,1,0
696,4,Black,0,1,1,0,0
697,29,Black,0,1,0,1,0
698,1,Red,1,0,0,1,0
699,28,Black,0,1,1,0,0
700,1,Red,1,0,0,1,0
701,30,Red,1,0,1,0,0
702,34,Red,1,0,1,0,0
703,29,Black,0,1,0,1,0
704,3,Red,1,0,0,1,0
705,19,Red,1,0,0,1,0
706,33,Black,0,1,0,1,0
707,34,Red,1,0,1,0,0
708,28,Black,0,1,1,0,0
709,2,Black,0,1,1,0,0
710,3,Red,1,0,0,1,0
711,18,Red,1,0,1,0,0
712,17,Black,0,1,0,1,0
713,10,Black,0,1,1,0,0
714,3,Red,1,0,0,1,0
715,15,Black,0,1,0,1,0
716,21,Red,1,0,0,1,0
717,26,Black,0,1,1,0,0
718,30,Red,1,0,1,0,0
719,30,Red,1,0,1,0,0
720,4,Black,0,1,1,0,0
721,15,Black,0,1,0,1,0
722,23,Red,1,0,0,1,0
723,14,Red,1,0,1,0,0
724,27,Red,1,0,0,1,0
725,28,Black,0,1,1,0,0
726,29,Black,0,1,0,1,0
727,35,Black,0,1,0,1,0
728,29,Black,0,1,0,1,0
729,8,Black,0,1,1,0,0
730,5,Red,1,0,0,1,0
731,36,Red,1,0,1,0,0
732,32,Red,1,0,1,0,0
733,34,Red,1,0,1,0,0
734,21,Red,1,0,0,1,0
735,6,Black,0,1,1,0,0
736,19,Red,1,0,0,1,0
737,10,Black,0,1,1,0,0
738,20,Black,0,1,1,0,0
739,11,Black,0,1,0,1,0
740,17,Black,0,1,0,1,0
741,7,Red,1,0,0,1,0
742,18,Red,1,0,1,0,0
743,8,Black,0,1,1,0,0
744,20,Black,0,1,1,0,0
745,7,Red,1,0,0,1,0
746,33,Black,0,1,0,1,0
747,16,Red,1,0,1,0,0
748,15,Black,0,1,0,1,0
749,1,Red,1,0,0,1,0
750,27,Red,1,0,0,1,0
751,9,Red,1,0,0,1,0
752,32,Red,1,0,1,0,0
753,1,Red,1,0,0,1,0
754,36,Red,1,0,1,0,0
755,3,Red,1,0,0,1,0
756,21,Red,1,0,0,1,0
757,3,Red,1,0,0,1,0
758,30,Red,1,0,1,0,0
759,18,Red,1,0,1,0,0
760,11,Black,0,1,0,1,0
761,20,Black,0,1,1,0,0
762,17,Black,0,1,0,1,0
763,7,Red,1,0,0,1,0
764,23,Red,1,0,0,1,0
765,24,Black,0,1,1,0,0
766,16,Red,1,0,1,0,0
767,21,Red,1,0,0,1,0
768,3,Red,1,0,0,1,0
769,19,Red,1,0,0,1,0
770,8,Black,0,1,1,0,0
771,6,Black,0,1,1,0,0
772,21,Red,1,0,0,1,0
773,31,Black,0,1,0,1,0
774,7,Red,1,0,0,1,0
775,5,Red,1,0,0,1,0
776,4,Black,0,1,1,0,0
777,5,Red,1,0,0,1,0
778,6,Black,0,1,1,0,0
779,28,Black,0,1,1,0,0
780,18,Red,1,0,1,0,0
781,22,Black,0,1,1,0,0
782,21,Red,1,0,0,1,0
783,12,Red,1,0,1,0,0
784,30,Red,1,0,1,0,0
785,16,Red,1,0,1,0,0
786,8,Black,0,1,1,0,0
787,11,Black,0,1,0,1,0
788,33,Black,0,1,0,1,0
789,35,Black,0,1,0,1,0
790,3,Red,1,0,0,1,0
791,5,Red,1,0,0,1,0
792,34,Red,1,0,1,0,0
793,27,Red,1,0,0,1,0
794,29,Black,0,1,0,1,0
795,13,Black,0,1,0,1,0
796,14,Red,1,0,1,0,0
797,6,Black,0,1,1,0,0
798,33,Black,0,1,0,1,0
799,23,Red,1,0,0,1,0
800,17,Black,0,1,0,1,0
801,1,Red,1,0,0,1,0
802,31,Black,0,1,0,1,0
803,32,Red,1,0,1,0,0
804,23,Red,1,0,0,1,0
805,17,Black,0,1,0,1,0
806,25,Red,1,0,0,1,0
807,1,Red,1,0,0,1,0
808,18,Red,1,0,1,0,0
809,10,Black,0,1,1,0,0
810,6,Black,0,1,1,0,0
811,20,Black,0,1,1,0,0
812,21,Red,1,0,0,1,0
813,33,Black,0,1,0,1,0
814,0,Green,0,0,0,0,1
815,1,Red,1,0,0,1,0
816,13,Black,0,1,0,1,0
